team,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability
Ecuador,0.599,0.398,0.251,0.161,0.102
Argentina,0.622,0.421,0.276,0.167,0.097
Colombia,0.562,0.351,0.216,0.141,0.096
Spain,0.602,0.372,0.227,0.134,0.084
Brazil,0.558,0.354,0.224,0.111,0.063
France,0.518,0.311,0.169,0.101,0.062
Portugal,0.535,0.342,0.206,0.109,0.057
Mexico,0.599,0.351,0.183,0.095,0.046
Uruguay,0.443,0.239,0.132,0.073,0.042
Germany,0.482,0.275,0.149,0.081,0.037
Paraguay,0.44,0.241,0.134,0.065,0.034
Japan,0.495,0.261,0.13,0.058,0.024
Belgium,0.459,0.237,0.121,0.057,0.022
Canada,0.495,0.261,0.121,0.059,0.022
United States,0.442,0.229,0.112,0.057,0.021
Netherlands,0.432,0.221,0.101,0.045,0.02
Switzerland,0.458,0.246,0.127,0.055,0.018
Scotland,0.343,0.174,0.087,0.04,0.016
Norway,0.342,0.173,0.074,0.031,0.015
Croatia,0.382,0.17,0.067,0.032,0.013
Turkey,0.273,0.148,0.07,0.037,0.013
Australia,0.301,0.132,0.065,0.025,0.012
England,0.437,0.224,0.095,0.035,0.009
Algeria,0.32,0.133,0.061,0.031,0.009
Czech Republic,0.234,0.085,0.029,0.013,0.008
Morocco,0.374,0.18,0.072,0.029,0.007
South Korea,0.304,0.131,0.053,0.02,0.007
Iran,0.283,0.113,0.041,0.012,0.006
Ivory Coast,0.298,0.107,0.038,0.014,0.005
Egypt,0.275,0.11,0.043,0.014,0.005
Senegal,0.259,0.105,0.041,0.011,0.004
Austria,0.233,0.094,0.042,0.011,0.003
Jordan,0.212,0.078,0.026,0.009,0.003
New Zealand,0.27,0.1,0.036,0.015,0.003
Saudi Arabia,0.2,0.07,0.019,0.006,0.003
DR Congo,0.154,0.045,0.014,0.004,0.003
Uzbekistan,0.257,0.105,0.031,0.015,0.003
Tunisia,0.133,0.041,0.008,0.001,0.001
Bosnia and Herzegovina,0.176,0.054,0.018,0.002,0.001
Cape Verde,0.145,0.029,0.006,0.001,0.001
Iraq,0.121,0.026,0.009,0.003,0.001
Panama,0.22,0.073,0.017,0.005,0.001
Ghana,0.1,0.015,0.003,0.002,0.001
Curaçao,0.078,0.018,0.003,0.0,0.0
Haiti,0.13,0.036,0.012,0.002,0.0
Qatar,0.078,0.021,0.005,0.001,0.0
South Africa,0.102,0.025,0.006,0.002,0.0
Sweden,0.225,0.075,0.03,0.008,0.0
